iter	RMSE
160	0.5157482423
161	0.5119797084
162	0.508595735
163	0.5068962923
164	0.5044202203
165	0.5006350031
166	0.4972113923
167	0.4934153755
168	0.4895395682
169	0.4858043783
170	0.4841614397
171	0.4806445996
172	0.4770688771
173	0.4738798988
174	0.4695263898
175	0.4665549946
176	0.463364003
177	0.4607525887
178	0.4571170167
179	0.4539291521
180	0.4505342416
181	0.4472863824
182	0.4437955269
183	0.4414707119
184	0.4385120338
185	0.4355726796
186	0.4332027747
187	0.4299926892
188	0.4267590477
189	0.4223559757
190	0.4199424241
191	0.4167807406
192	0.4140369422
193	0.411917566
194	0.4093377183
195	0.406061633
196	0.4027828318
197	0.4004043662
198	0.3969540358
199	0.395273479
200	0.3927776415
201	0.3899249862
202	0.3870003734
203	0.3846870397
204	0.3823984569
205	0.3806833116
206	0.3780571804
207	0.3753844655
208	0.3723110942
209	0.3697249148
210	0.3672844129
211	0.3646859217
212	0.3620083544
213	0.3598412197
214	0.3581389749
215	0.3558310281
216	0.3531491247
217	0.350788913
218	0.3488746456
219	0.3459745717
220	0.3432436437
221	0.3416238695
222	0.3389389209
223	0.3369907294
224	0.3342365062
225	0.3323268873
226	0.3295796797
227	0.328754019
228	0.3262020182
229	0.3241640864
230	0.321898341
231	0.3193159457
232	0.3172836953
233	0.3148171117
234	0.3125282051
235	0.310527266
236	0.3096426991
237	0.3075007804
238	0.3060917419
239	0.3043064696
240	0.3017737295
241	0.2996763328
242	0.2985128011
243	0.2963340975
244	0.2946725354
245	0.2930878626
246	0.2916019625
247	0.2907563035
248	0.2885361901
249	0.2868183838
250	0.284631684
251	0.2838699055
252	0.2830344306
253	0.2812589881
254	0.279915415
255	0.2777739362
256	0.2760550779
257	0.2753523713
258	0.274588931
259	0.2727042924
260	0.271596637
261	0.2703333611
262	0.268686344
263	0.2670947693
264	0.2657564827
265	0.2652875816
266	0.2637853625
267	0.2622242925
268	0.2617993615
269	0.2596696185
270	0.2576981838
271	0.2561985737
272	0.2545874658
273	0.2541860639
274	0.25252406
275	0.2516953197
276	0.2504060503
277	0.2493693533
278	0.2481733068
279	0.2462751181
280	0.244756509
281	0.2435787291
282	0.2418909693
283	0.2402929426
284	0.2391240217
285	0.2386503787
286	0.2365668724
287	0.2352264489
288	0.2346219638
289	0.2328581433
290	0.2314928535
291	0.2299752015
292	0.2288401672
293	0.2275155523
294	0.2257911813
295	0.2254506392
296	0.224554064
297	0.2229631659
298	0.2221572865
299	0.2210768253
300	0.2192138022
301	0.2183628246
302	0.217004748
303	0.2154900505
304	0.2140637765
305	0.2125172179
306	0.2113751377
307	0.210509739
308	0.2099767637
309	0.2090991531
310	0.207588353
311	0.2063374783
312	0.2049636443
313	0.2036785951
314	0.2030879581
315	0.2021536905
316	0.2003446937
317	0.1996116207
318	0.1985874618
319	0.1973045617
320	0.1960760111
321	0.1944660337
322	0.192910097
323	0.1923466996
324	0.1912723916
325	0.190866069
326	0.1899821034
327	0.1889193209
328	0.1872438386
329	0.1861542869
330	0.1853863123
331	0.1841976501
332	0.1839396567
333	0.1825152534
334	0.1814545317
335	0.1803619911
336	0.178995181
337	0.1779549944
338	0.1766670074
339	0.1758145431
340	0.1755225559
341	0.1748621984
342	0.1738450435
343	0.1733502335
344	0.1721987574
345	0.1719136658
346	0.1705493178
347	0.1695636589
348	0.1682751783
349	0.1672703799
350	0.1666355902
351	0.1657332147
352	0.1650337241
353	0.1639433937
354	0.1628518158
355	0.1621671736
356	0.1610010087
357	0.160587166
358	0.1597143836
359	0.1591180535
360	0.1588387157
361	0.1583154614
362	0.1579149433
363	0.1570812345
364	0.1564018604
365	0.1550914753
366	0.1548482469
367	0.1540671268
368	0.1528003863
369	0.1518140784
370	0.150844022
371	0.1503794612
372	0.1496812073
373	0.1484500058
374	0.147840809
375	0.1467834855
376	0.1456176384
377	0.1450467235
378	0.1440754575
379	0.1431446036
380	0.1422276367
381	0.1413637094
382	0.1401629044
383	0.1398291836
384	0.1390648306
385	0.1388399532
386	0.1382357784
387	0.137730201
388	0.1370974658
389	0.1362913049
390	0.1360859994
391	0.1353604387
392	0.1347667787
393	0.1335965715
394	0.132715761
395	0.1323563297
396	0.1313822034
397	0.1301527745
398	0.1289556375
399	0.1287828271
400	0.1278014058
401	0.1270130088
402	0.1262834304
403	0.1256247015
404	0.1249807729
405	0.1240974719
406	0.1231437979
407	0.1220381786
408	0.1214311234
409	0.1207019801
410	0.1199177163
411	0.119096661
412	0.1183811136
413	0.1178937826
414	0.1170404147
415	0.1168460232
416	0.1162330463
417	0.1159499927
418	0.1153057082
419	0.1147356277
420	0.114419961
421	0.1133787296
422	0.1126785964
423	0.1121511036
424	0.1114163853
425	0.111247953
426	0.1105155299
427	0.1100305917
428	0.1092948275
429	0.1085800827
430	0.1078528124
431	0.1073734357
432	0.1068077277
433	0.1062229674
434	0.1061271658
435	0.1053555886
436	0.1044013117
437	0.1038623788
438	0.1032439314
439	0.1024856687
440	0.1016786848
441	0.1009450362
442	0.100292935
443	0.0997308403
444	0.0993312027
445	0.09878420118
446	0.09868260322
447	0.09777410784
448	0.09720489101
449	0.09683047181
450	0.09614980431
451	0.09602917331
452	0.09531213539
453	0.0944740446
454	0.09388201509
455	0.0931040165
456	0.0923432354
457	0.09201898728
458	0.09142524321
459	0.09121063965
460	0.09081473886
461	0.09021784919
462	0.0900304784
463	0.08974853312
464	0.08899413191
465	0.08846946877
466	0.08799732947
467	0.08740665476
468	0.08707867779
469	0.08640865612
470	0.08575099745
471	0.0852154269
472	0.08466588328
473	0.08415403734
474	0.08349467908
475	0.08299164376
476	0.08255654917
477	0.08208622569
478	0.08182978059
479	0.08134647714
480	0.08096770602
481	0.08069307042
482	0.08014346948
483	0.07971969444
484	0.07929239852
485	0.07891584258
486	0.0786321505
487	0.07821310608
488	0.07782147628
489	0.0774565825
490	0.07693266505
491	0.07651001162
492	0.07596028249
493	0.07573575726
494	0.07534219757
495	0.07479920493
496	0.07460102382
497	0.07416154296
498	0.07367347442
499	0.07313501147
