iter	Passed	Remaining
215	29408	38667
216	29544	38530
217	29657	38364
218	29765	38192
219	29878	38027
220	29975	37841
221	30081	37669
222	30204	37518
223	30346	37391
224	30511	37291
225	30682	37199
226	30836	37085
227	30965	36941
228	31101	36805
229	31223	36653
230	31378	36540
231	31496	36383
232	31636	36253
233	31753	36095
234	31909	35983
235	32044	35846
236	32167	35696
237	32265	35519
238	32452	35440
239	32592	35308
240	32734	35179
241	32885	35060
242	33054	34958
243	33250	34886
244	33602	34974
245	33807	34907
246	33950	34774
247	34094	34644
248	34225	34500
249	34349	34349
250	34460	34185
251	34555	34007
252	34657	33835
253	34760	33665
254	34875	33508
255	34966	33327
256	35057	33147
257	35140	32961
258	35230	32782
259	35320	32603
260	35406	32421
261	35494	32243
262	35582	32064
263	35725	31936
264	35850	31792
265	35954	31629
266	36043	31453
267	36136	31282
268	36235	31116
269	36363	30976
270	36480	30826
271	36614	30691
272	36728	30539
273	36833	30380
274	36959	30239
275	37073	30088
276	37180	29932
277	37274	29765
278	37395	29621
279	37497	29462
280	37606	29308
281	37724	29162
282	37817	28998
283	37916	28837
284	38014	28677
285	38125	28527
286	38226	28370
287	38344	28225
288	38448	28071
289	38563	27925
290	38652	27760
291	38772	27618
292	38877	27466
293	38976	27310
294	39068	27149
295	39161	26989
296	39267	26839
297	39426	26725
298	39558	26592
299	39687	26458
300	39821	26327
301	39952	26194
302	40095	26068
303	40234	25940
304	40354	25800
305	40466	25655
306	40572	25506
307	40711	25378
308	40820	25231
309	40935	25089
310	41049	24946
311	41178	24812
312	41286	24666
313	41393	24519
314	41501	24373
315	41579	24210
316	41671	24056
317	41776	23910
318	41869	23756
319	41980	23613
320	42086	23468
321	42184	23319
322	42295	23177
323	42373	23017
324	42469	22868
325	42552	22712
326	42640	22559
327	42808	22448
328	42909	22302
329	43019	22161
330	43124	22018
331	43258	21890
332	43403	21767
333	43511	21625
334	43635	21492
335	43772	21365
336	43874	21221
337	43989	21083
338	44103	20946
339	44244	20820
340	44337	20673
341	44437	20529
342	44537	20385
343	44638	20243
344	44750	20105
345	44852	19963
346	44953	19820
347	45067	19684
348	45160	19539
349	45263	19398
350	45369	19259
351	45483	19123
352	45583	18982
353	45704	18849
354	45835	18721
355	45932	18579
356	46033	18439
357	46142	18302
358	46261	18169
359	46366	18031
360	46453	17886
361	46546	17744
362	46645	17604
363	46732	17460
364	46831	17321
365	46923	17179
366	47016	17038
367	47121	16902
368	47218	16763
369	47316	16624
370	47401	16482
371	47488	16340
372	47576	16198
373	47680	16063
374	47788	15929
375	47870	15787
376	47960	15647
377	48043	15506
378	48139	15369
379	48280	15246
380	48403	15118
381	48563	15001
382	48696	14875
383	48807	14744
384	48957	14623
385	49085	14496
386	49218	14371
387	49343	14243
388	49467	14115
389	49578	13983
390	49712	13858
391	49872	13740
392	49988	13610
393	50104	13479
394	50226	13351
395	50426	13243
396	50622	13133
397	50800	13019
398	50932	12892
399	51032	12758
400	51170	12633
401	51315	12509
402	51470	12388
403	51713	12288
404	51889	12171
405	52044	12049
406	52209	11929
407	52371	11809
408	52503	11681
409	52635	11554
410	52780	11429
411	52889	11296
412	53004	11165
413	53118	11034
414	53249	10906
415	53366	10775
416	53506	10649
417	53656	10525
418	53794	10399
419	53920	10270
420	54064	10145
421	54235	10024
422	54354	9894
423	54491	9767
424	54629	9640
425	54791	9517
426	54978	9399
427	55140	9275
428	55296	9151
429	55427	9023
430	55531	8890
431	55659	8761
432	55797	8633
433	55968	8511
434	56087	8380
435	56266	8259
436	56382	8128
437	56506	7998
438	56615	7866
439	56737	7736
440	56829	7603
441	56931	7470
442	57093	7346
443	57262	7222
444	57417	7096
445	57548	6967
446	57684	6839
447	57813	6710
448	58009	6589
449	58176	6464
450	58324	6336
451	58445	6206
452	58570	6076
453	58679	5945
454	58794	5814
455	58926	5685
456	59052	5556
457	59193	5428
458	59358	5302
459	59494	5173
460	59626	5044
461	59909	4927
462	60040	4798
463	60168	4668
464	60318	4540
465	60502	4414
466	60623	4283
467	60717	4151
468	60807	4019
469	60900	3887
470	60995	3755
471	61097	3624
472	61188	3492
473	61302	3362
474	61393	3231
475	61476	3099
476	61563	2968
477	61651	2837
478	61741	2706
479	61830	2576
480	61922	2446
481	62019	2316
482	62104	2185
483	62205	2056
484	62291	1926
485	62385	1797
486	62476	1667
487	62566	1538
488	62660	1409
489	62745	1280
490	62833	1151
491	62915	1023
492	63005	894
493	63083	766
494	63177	638
495	63267	510
496	63365	382
497	63449	254
498	63532	127
499	63614	0
